Источник перечня;ID строки Directus;Slug;Услуга;Позиция прайса;Статус соответствия;Код по описанию услуги;Официальное название;Коды только для проверки протокола;Названия условных кодов;Основание и ограничения;Источник кода
Актуальный прайс Directus;5;volnewmer;Volnewmer — монополярный RF-лифтинг;300 импульсов;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;6;volnewmer;Volnewmer — монополярный RF-лифтинг;400 импульсов;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;7;volnewmer;Volnewmer — монополярный RF-лифтинг;500 импульсов;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;8;volnewmer;Volnewmer — монополярный RF-лифтинг;600 импульсов;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;9;volnewmer;Volnewmer — монополярный RF-лифтинг;800 импульсов;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;10;volnewmer;Volnewmer — монополярный RF-лифтинг;1200 импульсов;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;11;volnewmer;Volnewmer — монополярный RF-лифтинг;1 доп. импульс;Код не установлен по имеющимся данным;;;;;"Название RF-лифтинга не позволяет автоматически выбрать A17.01.008 (токи ультравысокой частоты). Требуются инструкция/РУ аппарата, параметры и описание вмешательства; для Morpheus8 — также сведения об абляции/коагуляции. Код по сходству не назначен.";
Актуальный прайс Directus;12;pladuo;Pladuo — плазменные процедуры для кожи;Зона глаз, 300 импульсов;Код не установлен по имеющимся данным;;;;;Аргоновая/азотная плазма не равна лазерной шлифовке или плазмотерапии кровью. Нужны РУ, инструкция и конкретный режим воздействия. Код не выбран.;
Актуальный прайс Directus;13;pladuo;Pladuo — плазменные процедуры для кожи;Лицо (лечение), 600 импульсов;Код не установлен по имеющимся данным;;;;;Аргоновая/азотная плазма не равна лазерной шлифовке или плазмотерапии кровью. Нужны РУ, инструкция и конкретный режим воздействия. Код не выбран.;
Актуальный прайс Directus;14;pladuo;Pladuo — плазменные процедуры для кожи;Лицо (лечение и омоложение), 800 импульсов;Код не установлен по имеющимся данным;;;;;Аргоновая/азотная плазма не равна лазерной шлифовке или плазмотерапии кровью. Нужны РУ, инструкция и конкретный режим воздействия. Код не выбран.;
Актуальный прайс Directus;15;pladuo;Pladuo — плазменные процедуры для кожи;Лицо и шея (лечение), 1000 импульсов;Код не установлен по имеющимся данным;;;;;Аргоновая/азотная плазма не равна лазерной шлифовке или плазмотерапии кровью. Нужны РУ, инструкция и конкретный режим воздействия. Код не выбран.;
Актуальный прайс Directus;16;pladuo;Pladuo — плазменные процедуры для кожи;Лицо и шея (лечение, омоложение), 1200 импульсов;Код не установлен по имеющимся данным;;;;;Аргоновая/азотная плазма не равна лазерной шлифовке или плазмотерапии кровью. Нужны РУ, инструкция и конкретный режим воздействия. Код не выбран.;
